content	education	Advance path Academy Sacramento, CA
meta	experience	Sales Consultant
meta	experience	Kuni cadillac - Sacramento, CA
meta	experience	February 2018 to July 2018
meta	experience	Sales consultant
meta	experience	Sales Consultant
meta	experience	John L Sullivan Chevrolet - Sacramento, CA
meta	experience	January 2017 to December 2017
meta	experience	Sold Cars, got people financed made a friend
meta	experience	Sales Associate
meta	experience	Tillys - Sacramento, CA
meta	experience	July 2016 to December 2016
meta	experience	Lead sales associate
meta	experience	Burger King Crew Member
meta	experience	Burger King - Sacramento, CA
meta	experience	April 2015 to May 2016
meta	experience	I handled cash served food , clean the restaurant and worked late nights
