content	education	Watertown High School
meta	experience	Sales
meta	experience	Lenses Only - Meriden, CT
meta	experience	January 2017 to Present
meta	experience	Part time sales associate
meta	experience	Nanny and Personal Assistant
meta	experience	Private Home, Inc. - Southbury, CT
meta	experience	January 2016 to Present
meta	experience	I am responsible for taking two 7 year olds to school Monday-Friday. In the summer I pick up and drop off at camp, while during the day I help file paper work, answer emails, make phone calls, and plan family/social events.
meta	experience	Waitress
meta	experience	Triple play sports bar and grille
meta	experience	November 2014 to December 2015
