content	education	Butler high school
meta	experience	Cashier/Sales Associate
meta	experience	Cashier/Sales Associate - Huntsville, AL
meta	experience	October 2016 to Present
meta	experience	I have great experience
meta	experience	Babysitter
meta	experience	my home - Huntsville, AL
meta	experience	September 2015 to Present
meta	experience	Responsibilities
meta	experience	 Baby sit kids , fix food for the kids , take them to the park 
meta	experience	Accomplishments
meta	experience	Once I would feed the kids and let them watch  a cartoon they would take a nap
meta	experience	Hair Stylist
meta	experience	Self Employed - Huntsville, AL
meta	experience	June 2013 to Present
meta	experience	Responsibilities
meta	experience	Different types of hair styles like braids , twist , curling hair ,washing hair ,etc....
meta	experience	Skills Used
meta	experience	Excellent , good communication ,
meta	experience	Cashier/Customer Service
meta	experience	Walmart - Huntsville, AL
meta	experience	October 2016 to October 2018
meta	experience	I was a cashier for 2 years I loved it I have plenty of experience my job was to cff (clean,fast,friendly) and to check customer out
